"value","name","path"
40,"Accessibility","Accessibility"
180,"Accounts","Accounts"
1904,"AddressBook Plug-Ins","AddressBook Plug-Ins"
36,"Assistant","Assistant"
53228,"Automator","Automator"
2868,"BridgeSupport","BridgeSupport"
21988,"Caches","Caches"
2252,"ColorPickers","ColorPickers"
0,"Colors","Colors"
2908,"ColorSync","ColorSync"
21772,"Components","Components"
45728,"Compositions","Compositions"
409060,"CoreServices","CoreServices"
72,"DirectoryServices","DirectoryServices"
0,"Displays","Displays"
16,"DTDs","DTDs"
400116,"Extensions","Extensions"
